Time,Flow_PMF
0,1932.9
3,1932.93
6,1934.66
9,2010.29
12,2486.51
15,4193.78
18,7506.48
21,12465.15
24,21396.71
27,33582.09
30,45624.1
33,56934.29
36,67157.05
39,77982.05
42,91002.26
45,105809.63
48,118155.74
51,123528.29
54,121778.24
57,118175.14
60,117241.53
63,119073.96
66,116619.69
69,105999.75
72,95747.81
75,86889.79
78,78832.68
81,70401.46
84,60949.52
87,52990.77
90,45735.9
93,39415.78
96,33958.38
99,29296.62
102,25375.82
105,22005.47
108,19134.1
111,16654.99
114,14541.97
117,12732.19
120,11196.88
123,9892.45
126,8789.67
129,7855.91
132,7066.06
135,6396.35
138,5827.52
141,5342.71
144,4928.2
147,4572.48
150,4266.11
153,4001.28
156,3771.53
159,3571.52
162,3396.84
165,3243.8
168,3109.33
171,2990.85
174,2886.19
177,2793.52
180,2711.28
183,2638.13
186,2572.94
189,2514.73
192,2462.65
195,2415.97
198,2374.07
201,2336.39
204,2302.45
207,2271.83
210,2244.17
213,2219.14
216,2196.46
219,2175.88
222,2157.17
225,2140.16
228,2124.65
231,2110.51
234,2097.59
237,2085.77
240,2074.95
243,2065.03
246,2055.93
249,2047.57
